algorithm_name,env_n,size,best_solution,H,states,time,success
random,30,15,"[13, 10, 8, 14, 0, 4, 1, 7, 11, 6, 3, 9, 12, 5, 2]",2,10000,0.21109914779663086,False
random,31,15,"[8, 0, 5, 3, 14, 6, 10, 13, 2, 11, 7, 4, 1, 9, 12]",1,10000,0.1582629680633545,False
random,32,15,"[10, 4, 1, 3, 11, 14, 7, 13, 8, 2, 12, 6, 9, 5, 0]",1,10000,0.16122961044311523,False
random,33,15,"[12, 8, 5, 2, 13, 11, 3, 7, 0, 4, 1, 9, 14, 6, 10]",1,10000,0.13831877708435059,False
random,34,15,"[0, 10, 5, 14, 12, 4, 6, 11, 13, 1, 3, 8, 2, 7, 9]",1,10000,0.1394047737121582,False
random,35,15,"[4, 13, 7, 10, 3, 0, 12, 5, 9, 6, 1, 14, 8, 11, 2]",1,10000,0.13834619522094727,False
random,36,15,"[1, 3, 13, 8, 14, 11, 2, 4, 5, 12, 9, 6, 10, 7, 0]",2,10000,0.13769006729125977,False
random,37,15,"[3, 13, 10, 8, 5, 12, 2, 0, 14, 1, 9, 6, 4, 7, 11]",2,10000,0.13883423805236816,False
random,38,15,"[11, 4, 10, 1, 6, 5, 13, 8, 0, 14, 3, 7, 9, 12, 2]",1,10000,0.1384880542755127,False
random,39,15,"[14, 4, 11, 6, 12, 5, 2, 0, 13, 10, 8, 1, 3, 7, 9]",1,10000,0.14997053146362305,False
random,40,15,"[5, 12, 8, 0, 6, 9, 14, 2, 4, 10, 1, 7, 11, 13, 3]",2,10000,0.13892531394958496,False
random,41,15,"[5, 12, 9, 11, 6, 1, 2, 0, 14, 3, 8, 10, 7, 4, 13]",2,10000,0.13477635383605957,False
random,42,15,"[9, 7, 0, 8, 6, 1, 12, 14, 5, 10, 2, 4, 11, 13, 3]",1,10000,0.1525568962097168,False
random,43,15,"[13, 6, 8, 0, 11, 1, 14, 7, 3, 10, 2, 5, 9, 4, 12]",1,10000,0.14505934715270996,False
random,44,15,"[3, 6, 14, 10, 2, 5, 12, 9, 0, 11, 7, 4, 13, 1, 8]",2,10000,0.1394956111907959,False
random,45,15,"[10, 3, 14, 8, 1, 5, 9, 2, 0, 11, 4, 7, 13, 6, 12]",2,10000,0.1395270824432373,False
random,46,15,"[11, 6, 5, 1, 14, 12, 0, 3, 8, 10, 2, 4, 9, 7, 13]",2,10000,0.14619684219360352,False
random,47,15,"[12, 4, 0, 5, 13, 2, 11, 3, 6, 9, 1, 10, 7, 14, 8]",2,10000,0.14764666557312012,False
random,48,15,"[1, 2, 7, 3, 13, 9, 12, 4, 0, 11, 6, 14, 10, 8, 5]",1,10000,0.14568734169006348,False
random,49,15,"[7, 4, 3, 13, 8, 14, 12, 1, 6, 11, 0, 2, 5, 10, 9]",2,10000,0.14008140563964844,False
hill_climbing,0,4,"[2, 0, 3, 1]",0,7,0.00024080276489257812,True
hill_climbing,1,4,"[2, 0, 3, 1]",0,7,2.7179718017578125e-05,True
hill_climbing,2,4,"[1, 2, 3, 0]",0,13,2.9087066650390625e-05,True
hill_climbing,3,4,"[2, 0, 3, 1]",0,7,1.5497207641601562e-05,True
hill_climbing,4,4,"[2, 0, 3, 1]",0,1,4.5299530029296875e-06,True
hill_climbing,5,4,"[0, 1, 3, 2]",0,13,4.696846008300781e-05,True
hill_climbing,6,4,"[3, 2, 1, 0]",1,13,4.172325134277344e-05,False
hill_climbing,7,4,"[1, 3, 0, 2]",0,7,2.5987625122070312e-05,True
hill_climbing,8,4,"[2, 0, 3, 1]",0,7,2.8133392333984375e-05,True
hill_climbing,9,4,"[0, 1, 2, 3]",1,13,4.601478576660156e-05,False
hill_climbing,10,4,"[3, 2, 1, 0]",1,13,4.601478576660156e-05,False
